timestamp,eye_rub_first_hand_report,eye_rub_first_hand_count,eye_rub_first_hand_durations,|,eye_rub_second_hand_report,eye_rub_second_hand_count,eye_rub_second_hand_durations,|,flicker_report,flicker_count,|,micro_sleep_report,micro_sleep_count,micro_sleep_durations,|,pitch_report,pitch_count,pitch_durations,|,yawn_report,yawn_count,yawn_durations
2025-10-12 23:58:27,False,0,[],|,False,0,[],|,False,Counting flickers... 52.0 seconds remaining.,|,False,0,[],|,True,1,['1 pitch: 4.0 seconds'],|,False,Counting yawns... 172.0 seconds remaining.,[]
2025-10-12 23:58:58,False,0,[],|,False,0,[],|,False,Counting flickers... 21.0 seconds remaining.,|,False,0,[],|,True,2,"['1 pitch: 4.0 seconds', '2 pitch: 26.0 seconds']",|,False,Counting yawns... 141.0 seconds remaining.,[]
2025-10-12 23:59:08,False,0,[],|,False,0,[],|,False,Counting flickers... 11.0 seconds remaining.,|,False,0,[],|,True,3,"['1 pitch: 4.0 seconds', '2 pitch: 26.0 seconds', '3 pitch: 4.0 seconds']",|,False,Counting yawns... 131.0 seconds remaining.,[]
2025-10-13 07:05:25,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro sleep: 4.0 seconds'],|,False,Counting pitches...,[],|,False,Counting yawns... 161.0 seconds remaining.,[]
2025-10-13 07:06:05,False,0,[],|,False,0,[],|,True,34,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 120.0 seconds remaining.,[]
2025-10-13 07:06:56,False,0,[],|,False,0,[],|,False,Counting flickers... 9.0 seconds remaining.,|,False,0,[],|,True,1,['1 pitch: 8.0 seconds'],|,False,Counting yawns... 69.0 seconds remaining.,[]
2025-10-13 07:07:02,False,0,[],|,False,0,[],|,False,0,|,True,2,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 3.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 64.0 seconds remaining.,[]
2025-10-13 07:07:02,False,0,[],|,False,0,[],|,False,Counting flickers... 3.0 seconds remaining.,|,False,0,[],|,True,2,"['1 pitch: 8.0 seconds', '2 pitch: 3.0 seconds']",|,False,Counting yawns... 64.0 seconds remaining.,[]
2025-10-13 07:07:05,False,0,[],|,False,0,[],|,True,14,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 61.0 seconds remaining.,[]
2025-10-13 07:12:05,False,0,[],|,False,0,[],|,True,14,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 120.0 seconds remaining.,[]
2025-10-13 07:13:04,False,0,[],|,False,0,[],|,True,20,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 61.0 seconds remaining.,[]
2025-10-22 01:23:04,False,0,[],|,False,0,[],|,False,Counting flickers... 47.0 seconds remaining.,|,False,0,[],|,True,1,['1 pitch: 6.0 seconds'],|,False,Counting yawns... 167.0 seconds remaining.,[]
2025-10-22 03:52:12,False,0,[],|,False,0,[],|,False,Counting flickers... 45.0 seconds remaining.,|,False,0,[],|,True,1,['1 pitch: 3.0 seconds'],|,False,Counting yawns... 165.0 seconds remaining.,[]
2025-10-25 03:02:21,False,0,[],|,False,0,[],|,False,Counting flickers... 53.0 seconds remaining.,|,False,0,[],|,True,1,['1 pitch: 6.0 seconds'],|,False,Counting yawns... 173.0 seconds remaining.,[]
2025-10-25 03:02:42,False,0,[],|,False,0,[],|,False,Counting flickers... 32.0 seconds remaining.,|,False,0,[],|,True,2,"['1 pitch: 6.0 seconds', '2 pitch: 3.0 seconds']",|,False,Counting yawns... 152.0 seconds remaining.,[]
2025-10-25 03:02:52,False,0,[],|,False,0,[],|,False,Counting flickers... 22.0 seconds remaining.,|,False,0,[],|,True,3,"['1 pitch: 6.0 seconds', '2 pitch: 3.0 seconds', '3 pitch: 5.0 seconds']",|,False,Counting yawns... 142.0 seconds remaining.,[]
2025-10-25 03:03:14,False,0,[],|,False,0,[],|,True,1,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 120.0 seconds remaining.,[]
2025-10-25 03:03:29,False,0,[],|,False,0,[],|,False,Counting flickers... 44.0 seconds remaining.,|,False,0,[],|,True,4,"['1 pitch: 6.0 seconds', '2 pitch: 3.0 seconds', '3 pitch: 5.0 seconds', '4 pitch: 3.0 seconds']",|,False,Counting yawns... 105.0 seconds remaining.,[]
2025-10-25 03:04:13,False,0,[],|,False,0,[],|,True,3,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 61.0 seconds remaining.,[]
2025-10-25 03:05:09,False,0,[],|,False,0,[],|,False,Counting flickers... 4.0 seconds remaining.,|,False,0,[],|,True,5,"['1 pitch: 6.0 seconds', '2 pitch: 3.0 seconds', '3 pitch: 5.0 seconds', '4 pitch: 3.0 seconds', '5 pitch: 97.0 seconds']",|,False,Counting yawns... 5.0 seconds remaining.,[]
2025-10-25 03:05:13,False,0,[],|,False,0,[],|,True,1,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 1.0 seconds remaining.,[]
2025-10-25 03:05:14,False,0,[],|,False,0,[],|,False,Counting flickers... 59.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,True,0,[]
2025-10-25 03:05:41,False,0,[],|,False,0,[],|,False,Counting flickers... 31.0 seconds remaining.,|,False,0,[],|,True,6,"['1 pitch: 6.0 seconds', '2 pitch: 3.0 seconds', '3 pitch: 5.0 seconds', '4 pitch: 3.0 seconds', '5 pitch: 97.0 seconds', '6 pitch: 27.0 seconds']",|,False,Counting yawns... 152.0 seconds remaining.,[]
2025-10-25 03:05:56,False,0,[],|,False,0,[],|,False,Counting flickers... 16.0 seconds remaining.,|,False,0,[],|,True,7,"['1 pitch: 6.0 seconds', '2 pitch: 3.0 seconds', '3 pitch: 5.0 seconds', '4 pitch: 3.0 seconds', '5 pitch: 97.0 seconds', '6 pitch: 27.0 seconds', '7 pitch: 3.0 seconds']",|,False,Counting yawns... 137.0 seconds remaining.,[]
2025-10-25 03:06:04,False,0,[],|,False,0,[],|,False,Counting flickers... 9.0 seconds remaining.,|,False,0,[],|,True,8,"['1 pitch: 6.0 seconds', '2 pitch: 3.0 seconds', '3 pitch: 5.0 seconds', '4 pitch: 3.0 seconds', '5 pitch: 97.0 seconds', '6 pitch: 27.0 seconds', '7 pitch: 3.0 seconds', '8 pitch: 4.0 seconds']",|,False,Counting yawns... 130.0 seconds remaining.,[]
2025-10-25 03:06:12,False,0,[],|,False,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 121.0 seconds remaining.,[]
2025-10-25 03:06:36,False,0,[],|,False,0,[],|,False,Counting flickers... 36.0 seconds remaining.,|,False,0,[],|,True,9,"['1 pitch: 6.0 seconds', '2 pitch: 3.0 seconds', '3 pitch: 5.0 seconds', '4 pitch: 3.0 seconds', '5 pitch: 97.0 seconds', '6 pitch: 27.0 seconds', '7 pitch: 3.0 seconds', '8 pitch: 4.0 seconds', '9 pitch: 3.0 seconds']",|,False,Counting yawns... 97.0 seconds remaining.,[]
2025-10-25 03:06:44,False,0,[],|,False,0,[],|,False,Counting flickers... 28.0 seconds remaining.,|,False,0,[],|,True,10,"['1 pitch: 6.0 seconds', '2 pitch: 3.0 seconds', '3 pitch: 5.0 seconds', '4 pitch: 3.0 seconds', '5 pitch: 97.0 seconds', '6 pitch: 27.0 seconds', '7 pitch: 3.0 seconds', '8 pitch: 4.0 seconds', '9 pitch: 3.0 seconds', '10 pitch: 5.0 seconds']",|,False,Counting yawns... 90.0 seconds remaining.,[]
2025-10-25 03:06:55,False,0,[],|,False,0,[],|,False,Counting flickers... 17.0 seconds remaining.,|,False,0,[],|,True,11,"['1 pitch: 6.0 seconds', '2 pitch: 3.0 seconds', '3 pitch: 5.0 seconds', '4 pitch: 3.0 seconds', '5 pitch: 97.0 seconds', '6 pitch: 27.0 seconds', '7 pitch: 3.0 seconds', '8 pitch: 4.0 seconds', '9 pitch: 3.0 seconds', '10 pitch: 5.0 seconds', '11 pitch: 10.0 seconds']",|,False,Counting yawns... 79.0 seconds remaining.,[]
